,,gold,,,,3refs,,,,8refs,,,,7refs,,,,4refs,,,,1refs,,,,2refs,,,,6refs,,,,5refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
0,0,1.0,ORDERED with align,8,3,0.28571428571428575,ORDERED with align,12,6,0.1272727272727273,ORDERED with align,12,6,0.1272727272727273,ORDERED with align,12,6,0.1272727272727273,ORDERED with align,0,0,1.0,ORDERED with align,12,6,0.1272727272727273,ORDERED with align,12,6,0.1272727272727273,ORDERED with align,8,3,0.28571428571428575,ORDERED with align
2,1,0.9878787878787878,ORDERED with align,6,3,0.6190476190476191,ORDERED with align,8,3,0.28571428571428575,ORDERED with align,8,3,0.28571428571428575,ORDERED with align,8,3,0.28571428571428575,ORDERED with align,11,3,0.9030303030303028,ORDERED with align,8,3,0.28571428571428575,ORDERED with align,6,3,0.6190476190476191,ORDERED with align,6,3,0.6190476190476191,ORDERED with align
9,3,0.8321428571428571,ORDERED with align,23,3,0.4681318681318682,ORDERED with align,20,3,-0.39999999999999997,ORDERED with align,20,3,-0.39999999999999997,ORDERED with align,23,3,0.4681318681318682,ORDERED with align,23,3,0.4681318681318682,ORDERED with align,20,3,-0.39999999999999997,ORDERED with align,23,3,0.4681318681318682,ORDERED with align,23,3,0.4681318681318682,ORDERED with align
5,0,1.0,ORDERED with align,17,3,0.2571428571428572,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,17,3,0.2571428571428572,ORDERED with align,17,3,0.2571428571428572,ORDERED with align,0,0,1.0,ORDERED with align,17,3,0.2571428571428572,ORDERED with align,17,3,0.2571428571428572,ORDERED with align
7,3,0.9454545454545454,ORDERED with align,21,8,0.5894736842105263,ORDERED with align,22,4,-0.03571428571428572,ORDERED with align,22,4,-0.03571428571428572,ORDERED with align,20,6,0.2916666666666667,ORDERED with align,20,6,0.2916666666666667,ORDERED with align,21,8,0.5894736842105263,ORDERED with align,22,4,-0.03571428571428572,ORDERED with align,21,8,0.5894736842105263,ORDERED with align
4,0,1.0,ORDERED with align,8,3,0.5,ORDERED with align,19,5,0.11666666666666665,ORDERED with align,19,5,0.11666666666666665,ORDERED with align,8,3,0.5,ORDERED with align,8,3,0.5,ORDERED with align,8,3,0.5,ORDERED with align,19,5,0.11666666666666665,ORDERED with align,8,3,0.5,ORDERED with align
5,1,0.9488636363636365,ORDERED with align,34,2,-0.3,ORDERED with align,34,2,-0.3,ORDERED with align,34,2,-0.3,ORDERED with align,34,2,-0.3,ORDERED with align,34,2,-0.3,ORDERED with align,34,2,-0.3,ORDERED with align,34,2,-0.3,ORDERED with align,34,2,-0.3,ORDERED with align
12,8,0.9590964590964591,ORDERED with align,28,8,0.7831168831168831,ORDERED with align,28,8,0.7831168831168831,ORDERED with align,28,8,0.7831168831168831,ORDERED with align,28,8,0.7831168831168831,ORDERED with align,28,8,0.7831168831168831,ORDERED with align,32,2,0.28571428571428575,ORDERED with align,28,8,0.7831168831168831,ORDERED with align,28,8,0.7831168831168831,ORDERED with align
0,0,1.0,ORDERED with align,18,2,0.4642857142857144,ORDERED with align,18,2,0.4642857142857144,ORDERED with align,18,2,0.4642857142857144,ORDERED with align,18,2,0.4642857142857144,ORDERED with align,18,2,0.4642857142857144,ORDERED with align,28,8,0.7831168831168831,ORDERED with align,18,2,0.4642857142857144,ORDERED with align,18,2,0.4642857142857144,ORDERED with align
4,1,0.39999999999999997,ORDERED with align,9,3,0.0,ORDERED with align,30,3,0.3571428571428572,ORDERED with align,9,3,0.0,ORDERED with align,9,3,0.0,ORDERED with align,9,3,0.0,ORDERED with align,19,3,0.7142857142857144,ORDERED with align,30,3,0.3571428571428572,ORDERED with align,9,3,0.0,ORDERED with align
