,,4refs,,,,2refs,,,,8refs,,,,5refs,,,,3refs,,,,1refs,,,,gold,,,,7refs,,,,6refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,1,0.9974259974259974,ORDERED with align,2,1,0.9974259974259974,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
3,2,0.8881118881118882,ORDERED with align,3,2,0.9120879120879121,ORDERED with align,2,2,0.5549450549450549,ORDERED with align,2,2,0.5549450549450549,ORDERED with align,1,0,1.0,ORDERED with align,2,1,0.9790209790209792,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,2,0.5549450549450549,ORDERED with align,2,2,0.5549450549450549,ORDERED with align
2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,5,2,0.9333333333333332,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
0,1,0.9930069930069931,ORDERED with align,1,0,1.0,ORDERED with align,0,1,0.9930069930069931,ORDERED with align,0,1,0.9930069930069931,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,12,8,0.28792569659442724,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
3,1,0.9947368421052631,ORDERED with align,3,1,0.9947368421052631,ORDERED with align,3,1,0.9947368421052631,ORDERED with align,3,1,0.9947368421052631,ORDERED with align,3,1,0.9947368421052631,ORDERED with align,1,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,3,1,0.9947368421052631,ORDERED with align,3,1,0.9947368421052631,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,2,0.956140350877193,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,2,0.956140350877193,ORDERED with align,1,2,0.956140350877193,ORDERED with align,2,0,1.0,ORDERED with align,10,6,0.4117647058823529,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
